league.season,HomeTeam,AwayTeam,HomeScore,AwayScore,Date,Time,Result,HalftimeHomeGoals,HalftimeAwayGoals,HalftimeResult,HomeShot,AwayShot,HomeShotTarget,AwayShotTarget,HomeTeamFouls,AwayTeamFouls,HomeTeamCorners,AwayTeamCorners,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,result_home,result_away,home_goals_scored_home,home_goals_conceded_home,home_win_rate_home,away_goals_scored_away,away_goals_conceded_away,away_win_rate_away,home_season_rank,away_season_rank,home_rolling_scored,home_rolling_conceded,home_rolling_win_rate,away_rolling_scored,away_rolling_conceded,away_rolling_win_rate
2024,Strasbourg,Marseille,1,0,2024-09-29,19:45,H,1,0,H,14,10,6,3,17,7,8,3,2,1,0,0,1.0,0.0,1.941,1.176,0.588,1.941,1.412,0.588,7,2,2.2,2.0,0.2,3.0,1.2,0.8
2024,Toulouse,Lyon,1,2,2024-09-29,14:00,A,1,1,D,10,4,4,1,12,15,3,4,2,2,0,0,0.0,1.0,1.176,1.294,0.294,1.647,1.471,0.353,10,6,0.8,1.2,0.2,1.2,2.2,0.2
2024,Marseille,Angers,1,1,2024-10-04,19:45,D,0,0,D,13,8,4,3,12,9,9,3,4,0,1,1,0.5,0.5,2.412,1.353,0.588,0.824,1.176,0.294,2,14,2.0,1.2,0.6,0.8,2.2,0.0
2024,St Etienne,Auxerre,3,1,2024-10-05,16:00,H,1,0,H,13,11,5,3,13,10,5,4,3,1,0,0,1.0,0.0,1.412,1.941,0.353,1.412,2.0,0.235,17,11,0.6,3.2,0.2,1.2,2.2,0.2
2024,Lille,Toulouse,2,1,2024-10-05,18:00,H,0,1,A,10,9,3,3,13,8,4,6,3,2,0,0,1.0,0.0,1.824,1.059,0.647,1.412,1.235,0.353,5,10,1.8,1.4,0.4,1.0,1.6,0.2
2024,Rennes,Monaco,1,2,2024-10-05,20:00,A,1,2,A,14,5,3,2,9,16,10,4,2,4,0,0,0.0,1.0,1.471,1.0,0.529,1.471,1.471,0.353,12,3,1.4,1.8,0.2,2.2,0.6,0.8
2024,Lyon,Nantes,2,0,2024-10-06,14:00,H,1,0,H,17,11,6,6,10,5,6,9,1,2,0,0,1.0,0.0,2.176,1.235,0.647,1.176,2.0,0.176,6,13,1.6,1.8,0.4,1.8,1.2,0.4
2024,Nice,Paris SG,1,1,2024-10-06,19:45,D,1,0,H,9,19,3,9,7,9,5,15,1,2,0,0,0.5,0.5,2.235,0.882,0.647,2.765,1.118,0.706,4,1,2.6,0.8,0.4,3.2,0.8,0.8
2024,Reims,Montpellier,4,2,2024-10-06,16:00,H,2,1,H,18,10,5,3,15,13,4,4,3,5,0,0,1.0,0.0,1.0,1.471,0.235,0.353,2.235,0.059,16,18,2.0,1.2,0.6,1.0,3.2,0.2
2024,Stade Brestois,Le Havre,2,0,2024-10-06,16:00,H,1,0,H,8,14,3,0,19,11,1,9,4,0,1,1,1.0,0.0,1.824,1.235,0.588,1.471,1.765,0.412,9,15,1.4,1.6,0.4,1.2,1.8,0.4
2024,Strasbourg,Lens,2,2,2024-10-06,16:00,D,1,2,A,8,12,5,5,15,18,3,5,2,4,0,0,0.5,0.5,1.941,1.176,0.588,1.353,1.0,0.471,7,8,2.2,1.8,0.4,0.8,0.4,0.2
2024,Monaco,Lille,0,0,2024-10-18,19:45,D,0,0,D,14,3,4,1,13,14,6,1,1,5,1,0,0.5,0.5,2.235,0.941,0.706,1.235,1.059,0.353,3,5,2.2,0.8,0.8,1.8,1.6,0.4
2024,Stade Brestois,Rennes,1,1,2024-10-19,16:00,D,0,0,D,12,6,2,4,18,15,2,4,2,2,0,0,0.5,0.5,1.824,1.235,0.588,1.529,1.941,0.235,9,12,1.8,1.2,0.6,1.4,1.6,0.2
2024,St Etienne,Lens,0,2,2024-10-19,18:00,A,0,1,A,15,13,1,5,12,16,2,7,1,2,0,0,0.0,1.0,1.412,1.941,0.353,1.353,1.0,0.471,17,8,1.2,3.0,0.4,0.8,0.8,0.0
2024,Paris SG,Strasbourg,4,2,2024-10-19,20:00,H,1,0,H,18,16,10,8,10,12,5,5,2,2,0,0,1.0,0.0,2.647,0.941,0.824,1.353,1.412,0.353,1,7,2.2,1.0,0.6,2.0,2.0,0.2
2024,Auxerre,Reims,2,1,2024-10-20,16:00,H,1,0,H,10,15,8,3,6,10,5,9,2,3,0,0,1.0,0.0,1.412,1.0,0.412,0.941,1.294,0.235,11,16,1.4,2.4,0.2,2.4,1.2,0.8
2024,Le Havre,Lyon,0,4,2024-10-20,14:00,A,0,1,A,7,16,1,8,17,11,4,6,3,4,0,0,0.0,1.0,0.882,2.412,0.176,1.647,1.471,0.353,15,6,0.8,2.2,0.2,2.0,1.4,0.6
2024,Montpellier,Marseille,0,5,2024-10-20,19:45,A,0,3,A,13,21,5,10,11,18,3,2,1,3,1,0,0.0,1.0,1.0,2.412,0.176,1.941,1.412,0.588,18,2,1.4,2.8,0.2,1.8,1.0,0.6
2024,Nantes,Nice,1,1,2024-10-20,16:00,D,0,0,D,11,13,7,7,10,11,4,8,2,1,0,0,0.5,0.5,1.118,1.059,0.294,1.647,1.529,0.353,13,4,1.4,1.6,0.2,2.6,0.8,0.4
2024,Toulouse,Angers,1,1,2024-10-20,16:00,D,0,1,A,18,8,6,4,11,9,8,2,2,4,0,0,0.5,0.5,1.176,1.294,0.294,0.824,1.176,0.294,10,14,1.0,1.8,0.2,1.0,2.0,0.0
2024,Rennes,Le Havre,1,0,2024-10-25,19:45,H,0,0,D,20,5,4,1,10,7,14,0,2,4,0,1,1.0,0.0,1.471,1.0,0.529,1.471,1.765,0.412,12,15,1.4,1.4,0.2,0.2,2.8,0.0
2024,Reims,Stade Brestois,1,2,2024-10-26,18:00,A,1,2,A,11,13,3,4,15,11,7,3,3,2,0,0,0.0,1.0,1.0,1.471,0.235,1.235,2.235,0.294,16,9,2.2,1.4,0.6,1.2,1.4,0.4
2024,Lens,Lille,0,2,2024-10-26,20:00,A,0,0,D,11,11,4,3,16,14,8,2,4,4,0,0,0.0,1.0,1.118,1.294,0.412,1.235,1.059,0.353,8,5,1.0,0.6,0.2,1.6,1.0,0.4
2024,Angers,St Etienne,4,2,2024-10-26,16:00,H,2,1,H,13,19,8,7,10,13,2,3,1,3,0,0,1.0,0.0,1.059,1.941,0.294,0.882,2.588,0.118,14,17,1.0,1.4,0.0,1.2,2.6,0.4
2024,Lyon,Auxerre,2,2,2024-10-27,14:00,D,1,0,H,12,17,8,4,7,14,5,4,0,4,0,0,0.5,0.5,2.176,1.235,0.647,1.412,2.0,0.235,6,11,2.0,0.8,0.6,1.6,2.0,0.4
2024,Marseille,Paris SG,0,3,2024-10-27,19:45,A,0,3,A,5,19,1,8,4,7,1,2,1,0,1,0,0.0,1.0,2.412,1.353,0.588,2.765,1.118,0.706,2,1,2.2,0.8,0.6,2.4,1.2,0.6
2024,Montpellier,Toulouse,0,3,2024-10-27,16:00,A,0,3,A,9,15,2,6,8,20,1,3,1,2,1,0,0.0,1.0,1.0,2.412,0.176,1.412,1.235,0.353,18,10,1.2,3.2,0.2,1.0,1.4,0.2
2024,Nice,Monaco,2,1,2024-10-27,16:00,H,1,1,D,17,11,9,5,16,11,6,6,2,5,0,1,1.0,0.0,2.235,0.882,0.647,1.471,1.471,0.353,4,3,2.0,0.8,0.2,2.0,0.6,0.8
2024,Strasbourg,Nantes,3,1,2024-10-27,16:00,H,1,0,H,9,8,5,6,15,17,5,4,2,3,0,0,1.0,0.0,1.941,1.176,0.588,1.176,2.0,0.176,7,13,1.8,2.0,0.2,1.0,1.6,0.0
2024,Lille,Lyon,1,1,2024-11-01,20:00,D,1,0,H,14,14,2,3,12,10,4,9,3,1,0,0,0.5,0.5,1.824,1.059,0.647,1.647,1.471,0.353,5,6,2.0,0.8,0.6,2.4,1.2,0.6
2024,Monaco,Angers,0,1,2024-11-01,18:00,A,0,1,A,11,10,3,3,16,12,4,4,1,1,0,0,0.0,1.0,2.235,0.941,0.706,0.824,1.176,0.294,3,14,1.6,1.0,0.6,1.6,1.6,0.2
2024,Stade Brestois,Nice,0,1,2024-11-02,18:00,A,0,1,A,16,12,6,3,9,4,6,2,0,2,0,0,0.0,1.0,1.824,1.235,0.588,1.647,1.529,0.353,9,4,1.4,1.0,0.6,2.4,0.6,0.4
2024,St Etienne,Strasbourg,2,0,2024-11-02,20:00,H,0,0,D,13,9,3,3,9,4,2,3,2,1,0,0,1.0,0.0,1.412,1.941,0.353,1.353,1.412,0.353,17,7,1.4,3.4,0.2,2.2,2.0,0.4
2024,Paris SG,Lens,1,0,2024-11-02,16:00,H,1,0,H,18,13,8,2,3,20,7,4,1,5,0,1,1.0,0.0,2.647,0.941,0.824,1.353,1.0,0.471,1,8,2.4,1.0,0.6,1.0,1.0,0.2
2024,Auxerre,Rennes,4,0,2024-11-03,16:00,H,2,0,H,16,7,8,4,11,15,3,8,0,2,0,0,1.0,0.0,1.412,1.0,0.412,1.529,1.941,0.235,11,12,2.0,1.8,0.4,1.0,1.4,0.2
2024,Le Havre,Montpellier,1,0,2024-11-03,16:00,H,0,0,D,12,15,4,1,11,13,2,10,2,1,0,0,1.0,0.0,0.882,2.412,0.176,0.353,2.235,0.059,15,18,0.2,2.6,0.0,1.2,3.2,0.2
2024,Nantes,Marseille,1,2,2024-11-03,19:45,A,1,1,D,7,9,3,4,16,6,2,5,1,1,0,0,0.0,1.0,1.118,1.059,0.294,1.941,1.412,0.588,13,2,1.0,1.8,0.0,1.8,1.4,0.4
2024,Toulouse,Reims,1,0,2024-11-03,14:00,H,0,0,D,13,13,6,2,16,15,6,7,0,3,0,0,1.0,0.0,1.176,1.294,0.294,0.941,1.294,0.235,10,16,1.2,1.4,0.2,2.0,1.6,0.4
2024,Marseille,Auxerre,1,3,2024-11-08,19:45,A,0,3,A,19,10,5,6,13,16,5,3,3,2,0,0,0.0,1.0,2.412,1.353,0.588,1.412,2.0,0.235,2,11,1.6,1.2,0.4,2.4,1.2,0.6
2024,Angers,Paris SG,2,4,2024-11-09,20:00,A,0,4,A,10,26,3,12,5,16,6,8,0,3,0,0,0.0,1.0,1.059,1.941,0.294,2.765,1.118,0.706,14,1,1.6,1.4,0.4,2.4,0.8,0.8
2024,Lens,Nantes,3,2,2024-11-09,18:00,H,1,1,D,15,9,3,3,14,8,6,1,2,0,0,0,1.0,0.0,1.118,1.294,0.412,1.176,2.0,0.176,8,13,0.8,1.0,0.2,1.0,2.0,0.0
2024,Strasbourg,Monaco,1,3,2024-11-09,16:00,A,1,0,H,5,19,2,8,16,18,1,2,5,2,0,0,0.0,1.0,1.941,1.176,0.588,1.471,1.471,0.353,7,3,1.6,1.8,0.4,1.0,1.0,0.4
